LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
3510,10390.77,21,356.77,MO,295,4800,515,42,BUY BACK HOLD
3511,11093.57,21,460.8,MO,93,6850,470,36,PAYING
3512,11548.37,21,514.18,MO,80,5400,586,36,PAYING
3513,14359.33,21,433.55,MO,0,11850,461,60,PAYING
3514,3755.54,6,464,MO,62,8950,571,53,PAYING
3515,10988.64,5,388,MO,0,0,0,48,PAYING
3516,14746.78,21,519.57,MO,58,8600,473,48,PAYING
3517,7405.14,21,376.52,MO,0,3175,0,36,PAYING
3518,14137.39,21,518.44,MO,6,6275,0,44,PAYING
3519,7009.65,5,191,MO,0,13000,754,59,PAYING
3520,4122.35,21,407,MO,0,5650,644,53,PAYING
3521,6385.97,21,497.57,MO,78,2050,0,36,INSURANCE PAYMENT
3522,7520.96,21,345.81,MO,0,0,522,36,PAYING
3523,18604.76,21,651.24,MO,217,7850,439,42,REPO HOLD
3524,17036,21,641.83,MO,100,6675,466,36,BUY BACK HOLD
3525,10589,21,398.94,MO,291,1425,0,36,BUY BACK HOLD
3526,8855.9,10,315,MO,0,8400,0,47,PAYING
3527,12042.32,21,521.27,MO,62,1500,472,36,PAYING
3528,5906.93,5,227,MO,0,9650,0,59,PAYING
3529,5700.9,21,303.38,MO,264,425,0,24,BUY BACK HOLD
3530,12226.91,21,499.83,MO,25,0,416,42,PAYING
3531,16013.8,21,618.71,MO,38,12000,505,42,PAYING
3532,10345.3,21,425.2,MO,155,1075,559,35,REPO HOLD
3533,17470.63,21,712.97,MO,0,14100,0,42,PAYING
3534,6086.73,21,249.25,MO,182,3350,558,36,BUY BACK HOLD
3535,4452.05,21,417.83,MO,123,537.5,397,18,REPO ASSIGN
3536,13105.18,21,543.87,MO,123,2175,566,36,REPO HOLD
3537,8085.74,5,178,MO,26,8675,0,71,PAYING
3538,11141.67,21,449.1,MO,0,5350,498,42,PAYING
3539,10337.66,21,492.45,MO,0,0,0,36,PAYING
3540,13496.78,21,552.91,MO,74,9637.5,460,40,REPO HOLD
3541,5027.79,5,178,MO,0,0,0,48,PAYING
3542,7691.59,21,355.8,MO,8,0,533,36,PAYING
3543,12536.21,21,500.67,MO,0,8125,549,43,PAYING
3544,15118.53,21,517,MO,120,9075,533,59,REPO ASSIGN
3545,6086.45,21,305.84,MO,0,3375,0,35,PAYING
3546,9827.17,21,464.11,MO,0,5200,464,36,PAYING
3547,6334.28,21,305.31,MO,0,3250,636,36,PAYING
3548,12224.24,21,496.78,MO,157,2725,513,36,REPO HOLD
3549,7094.44,5,322,MO,0,14225,672,59,PAYING
3550,13847.87,21,528.43,MO,247,3550,444,36,REPO HOLD
3551,9026.12,21,408.58,MO,0,4750,681,42,PAYING
3552,15900.64,21,591.37,MO,119,7550,507,42,REPO ASSIGN
3553,4219.01,6,435,MO,132,8600,593,53,REPO HOLD
3554,13021,21,490.56,MO,265,3800,617,36,BUY BACK HOLD
3555,12281.37,21,478,MO,11,10425,650,53,PAYING
3556,16489.18,4,269,MO,0,19400,754,82,PAYING
3557,5928.72,21,266,MO,0,4450,502,41,PAYING
3558,13450.09,21,486.71,MO,159,4850,492,42,REPO HOLD
3559,8989.2,10,261,MO,0,9900,664,59,PAYING
3560,2457.26,6,25,MO,141,0,630,47,BUY BACK HOLD
3561,7178.51,7.5,245,MO,0,0,0,47,PAYING
3562,31371.52,18.01,550,MO,0,14125,0,146,PAYING
3563,14123.53,11.06,290.69,MO,0,14009,622,72,PAYING
3564,12979.31,10.99,268.25,MO,0,11320,640,72,PAYING
3565,19970.59,16.1,457.7,MO,18,16251,626,72,PAYING
3566,18607.24,10.97,390.46,MO,0,19937,677,72,PAYING
3567,18709.08,10.97,387.1,MO,0,19064,578,72,PAYING
3568,12684,11,264.49,MO,0,11496,650,72,PAYING
3569,21916.84,10.33,449.73,MO,0,19400,642,72,PAYING
3570,12061.8,10.52,246.77,MO,0,12984,586,72,PAYING
3571,15220.26,11.83,328.38,MO,0,14333,569,72,PAYING
3572,13872.25,12.97,306.87,MO,0,12572,632,72,PAYING
3573,13391.85,10.1,272.01,MO,0,11651,701,72,PAYING
3574,9246.15,11.95,222.31,MO,0,10697,724,61,PAYING
3575,36620.26,10.84,735.16,MO,17,34549,543,72,PAYING
3576,16225.38,11.01,334.03,MO,17,13632,644,72,PAYING
3577,22934.19,12.7,465.28,MO,17,21122,582,74,PAYING
3578,22750.72,14.04,496.79,MO,17,18214,581,72,PAYING
3579,14923.83,10.44,303.81,MO,0,12234,692,72,PAYING
3580,27000.42,11.69,572.3,MO,0,21151,614,72,PAYING
3581,10010.29,15.45,307.96,MO,0,9372,604,52,PAYING
3582,14341.92,11.56,299.06,MO,0,14415,672,72,PAYING
3583,15088.94,12.04,319.22,MO,0,16928,535,72,PAYING
3584,15169.01,10.44,303.56,MO,8,12736,605,72,PAYING
3585,13569.21,11.2,331.51,MO,0,13240,531,60,PAYING
3586,20883.39,16.28,464.2,MO,44,16731,518,72,PAYING
3587,16741.94,12.91,361.41,MO,0,20597,626,72,PAYING
3588,15905.39,11.84,321.7,MO,0,15304,518,74,PAYING
3589,16191.54,13.7,376.84,MO,0,14022,614,72,PAYING
3590,9798.63,10.94,202.06,MO,0,10495,658,72,PAYING
3591,15125.34,19.88,382.64,MO,0,12663,674,72,PAYING
3592,14078.94,12.7,304.34,MO,0,14524,614,72,PAYING
3593,16068.8,16.44,375.27,MO,0,15994,583,72,PAYING
3594,14119.19,13.86,319.75,MO,0,11932,678,72,PAYING
3595,24408.65,15.02,554.34,MO,0,28091,532,72,PAYING
3596,20366.25,12.95,442.81,MO,0,17815,584,72,PAYING
3597,26012.78,15.01,581.62,MO,15,23926,575,72,PAYING
3598,23744.05,12.64,520.54,MO,0,23150,622,72,PAYING
3599,26101.28,12.9,564.58,MO,0,30977,644,72,PAYING
3600,24555.07,11.91,518.11,MO,0,20237,632,72,PAYING
3601,19420.05,12.88,425.78,MO,0,18225,642,72,PAYING
3602,23434.79,16.33,548.34,MO,0,23076,0,72,PAYING
3603,19441.7,11.7,473.06,MO,22,20796,658,60,PAYING
3604,9690.92,10.29,191.43,MO,0,13400,659,72,PAYING
3605,21442.94,9.8,431.85,MO,0,24450,644,72,PAYING
3606,13141.99,10.75,304.69,MO,0,11471,714,60,PAYING
3607,22009.44,15.12,496.59,MO,0,19400,678,72,PAYING
3608,15651.97,13.04,341.97,MO,0,13575,702,72,PAYING
3609,13607.94,11.6,287.6,MO,0,10944,745,72,PAYING
3610,13840.13,15.31,318.78,MO,0,17700,626,72,PAYING
3611,21221.45,12.7,460.06,MO,0,18842,630,72,PAYING
3612,18208.94,10.6,374.64,MO,0,17426,684,72,PAYING
3613,10139.82,12.6,218.81,MO,0,11861,696,73,PAYING
3614,15593.52,11.73,329.78,MO,0,13924,706,72,PAYING
3615,18308.36,11.3,384.02,MO,0,16405,609,72,PAYING
3616,39473.75,10.83,801.18,MO,12,38090,627,72,PAYING
3617,14890.68,12.7,313.57,MO,0,12611,501,73,PAYING
3618,15624.6,11.14,461.13,MO,11,14273,616,48,PAYING
3619,31128.11,11.3,651.03,MO,0,28881,678,72,PAYING
3620,26291.97,11.5,548.93,MO,0,29641,620,72,PAYING
3621,17528.21,12.6,379.54,MO,0,16925,583,72,PAYING
3622,16951.88,10.8,349.48,MO,0,14858,696,72,PAYING
3623,19188.89,11.97,404.71,MO,0,18094,592,72,PAYING
3624,19779.58,12.99,449.69,MO,0,15452,589,67,PAYING
3625,21149.09,12.85,456.98,MO,0,20213,612,72,PAYING
3626,17624.8,11.89,363.81,MO,0,21331,658,72,PAYING
3627,16202.15,10.6,333.08,MO,0,14924,704,72,PAYING
3628,23982.9,10.98,497.99,MO,0,21420,727,72,PAYING
3629,11304.88,11.32,305,MO,0,10950,764,54,PAYING
3630,42615.11,10.86,880.62,MO,0,37425,637,72,PAYING
3631,31824.53,12.91,696.34,MO,0,31150,632,72,PAYING
3632,12229.89,10.74,228.69,MO,0,10701,759,72,PAYING
3633,17259.41,10.98,356.83,MO,0,15410,645,72,PAYING
3634,29963.14,12.87,646.28,MO,0,31833,572,72,PAYING
3635,13292.53,12.08,289.69,MO,0,12137,659,72,PAYING
3636,14594.96,14.8,331.28,MO,0,11819,511,72,PAYING
3637,17337.82,11.5,360.63,MO,0,15363,525,72,PAYING
3638,13874.64,12.97,306.96,MO,0,12216,626,72,PAYING
3639,33864.84,11.3,690.54,MO,9,32112,533,72,PAYING
3640,15023.15,10.6,362.61,MO,0,16189,573,60,PAYING
3641,12683.15,11.09,434.81,MO,0,16450,613,42,PAYING
3642,11735.03,11.64,245.36,MO,0,10609,634,72,PAYING
3643,17768.21,10.99,366.87,MO,0,18030,612,72,PAYING
3644,23754.15,14.95,537.06,MO,0,21798,686,72,PAYING
3645,20019.69,11.3,410.73,MO,0,17019,616,72,PAYING
3646,10118.33,16.71,273.07,MO,0,9847,591,60,PAYING
3647,31557.95,12.81,669.31,MO,0,27643,607,72,PAYING
3648,11694.69,11.5,234.36,MO,68,9457,517,72,PAYING
3649,16032.27,11.52,333.83,MO,0,14446,615,72,PAYING
3650,21847.62,11.54,447.3,MO,9,17588,592,72,PAYING
3651,19471.87,12.6,413.37,MO,9,15258,647,72,PAYING
3652,23492.31,9.71,469.98,MO,0,19359,653,72,PAYING
3653,10259.5,21,488.79,MO,0,2875,593,36,PAYING
3654,13265.88,21,532,MO,225,4200,441,36,REPO HOLD
3655,16895.47,21,589.52,MO,125,5300,455,42,REPO HOLD
3656,10493.21,21,473.99,MO,10,4875,580,36,PAYING
3657,8888.81,21,321.08,MO,0,2325,0,48,PAYING
3658,9404.99,21,449.68,MO,0,2000,492,36,PAYING
3659,15665.95,21,527.37,MO,29,2175,472,48,PAYING
3660,9893.88,21,351.26,MO,117,0,0,42,REPO ASSIGN
3661,8103.29,21,375.84,MO,0,3550,0,36,PAYING
3662,11300.05,21,473.61,MO,83,3200,498,36,PAYING
3663,9554.42,21,376.45,MO,0,4000,626,44,PAYING
3664,11095.38,21,400.41,MO,0,5850,0,48,PAYING
3665,12138.4,21,470.22,MO,197,2825,0,36,REPO HOLD
3666,16196.95,21,583.11,MO,0,6100,532,48,PAYING
3667,13095.76,21,397.17,MO,0,8725,645,60,PAYING
3668,11968.88,21,475.5,MO,0,8150,0,48,PAYING
3669,5542.65,21,252.8,MO,0,0,590,38,PAYING
3670,12453.85,21,426.73,MO,13,4625,630,48,PAYING
3671,12304.21,21,459.25,MO,0,7350,0,48,PAYING
3672,15810.34,21,425.25,MO,15,10475,465,70,PAYING
3673,5054.88,21,394.95,MO,0,0,557,24,PAYING
3674,14580.84,21,560.77,MO,84,11150,526,42,IMPOUND NOTICE
3675,14017.89,21,485.57,MO,0,4700,532,48,PAYING
3676,20009.22,21,668.11,MO,67,12250,522,48,PAYING
3677,19118.88,21,666.72,MO,17,11050,508,48,PAYING
3678,11935.27,11.24,291.27,MO,0,9050,680,60,PAYING
3679,13416.53,10.58,280.28,MO,0,13325,749,72,PAYING
3680,14760.64,11.75,311.6,MO,0,12300,714,72,PAYING
3681,13386.96,11.71,277.02,MO,9,16400,677,72,PAYING
3682,24489.38,11.78,510.64,MO,11,20134,567,72,PAYING
3683,17417.98,12.91,359.93,MO,36,15099,574,72,PAYING
3684,12394.09,11.71,260.57,MO,0,12849,695,72,PAYING
3685,19192.78,12.98,410.53,MO,8,16597,648,72,PAYING
3686,10439.52,12.19,221.57,MO,0,10704,526,72,PAYING
3687,22654.24,12.86,476.8,MO,8,29472,610,72,PAYING
3688,14510.01,12.6,327.86,MO,0,14897,574,72,PAYING
3689,18804.53,11.77,394.67,MO,0,16397,550,72,PAYING
3690,10510.11,11.3,219.8,MO,0,9768,668,72,PAYING
3691,10446.12,11.02,216.94,MO,0,11009,545,72,PAYING
3692,32900.5,10.85,675.88,MO,0,29794,560,72,PAYING
3693,25876.22,14.8,577.76,MO,5,23670,531,72,PAYING
3694,22347.73,13.8,488.3,MO,5,16668,547,72,PAYING
3695,18083.52,9.5,361.83,MO,0,16949,670,72,PAYING
3696,15494.24,10.82,314.43,MO,5,12671,657,72,PAYING
3697,21872.67,14.8,537.88,MO,19,16169,619,62,PAYING
3698,10432.6,11.99,221,MO,0,10048,549,72,PAYING
3699,17419.33,16.1,510.48,MO,0,14738,623,54,PAYING
3700,17034.65,11.69,361.23,MO,0,14747,708,72,PAYING
3701,14370.09,16.56,364.1,MO,64,12695,573,60,PAYING
3702,19007.66,10.97,393.81,MO,0,27265,609,72,PAYING
3703,19836.23,10.1,402.52,MO,0,21503,567,72,PAYING
3704,13191.55,11.08,273.04,MO,0,12465,622,72,PAYING
3705,19531.22,12.97,422.64,MO,0,15243,616,72,PAYING
3706,15977.51,11.62,334.99,MO,0,16513,627,72,PAYING
3707,21028.61,11.45,429.78,MO,0,16146,630,73,PAYING
3708,13536.76,12.7,292.71,MO,0,13656,580,72,PAYING
3709,20034.12,10.7,412.58,MO,0,18704,616,72,PAYING
3710,14409.98,13.07,300.47,MO,0,13251,651,72,PAYING
3711,14646.61,11.05,302.55,MO,0,13389,598,72,PAYING
3712,19919.5,11.96,414.62,MO,4,20953,545,72,PAYING
3713,15902.92,14.8,406.29,MO,0,16819,592,72,PAYING
3714,17754.88,13.08,390.07,MO,0,15190,673,72,PAYING
3715,14922.89,12.7,319.91,MO,0,14675,611,72,PAYING
3716,21088.26,14.8,461.8,MO,31,17149,590,72,PAYING
3717,24238.19,14.84,549.89,MO,0,19253,631,72,PAYING
3718,24991.99,10.83,565.64,MO,0,19813,689,63,PAYING
3719,23242.72,10.92,471.15,MO,0,22248,694,72,PAYING
3720,14626.75,14.17,317.78,MO,5,12234,582,72,PAYING
3721,13280.8,12.86,286.43,MO,0,11119,575,72,PAYING
3722,13795.85,14.8,315.85,MO,0,16789,580,72,PAYING
3723,36143.14,12.8,760.81,MO,3,29749,597,72,PAYING
3724,27027.24,14.02,692.47,MO,0,22548,568,60,PAYING
3725,14113.67,11.86,297.74,MO,0,14484,600,72,PAYING
3726,29181.69,12.83,672.22,MO,2,25506,644,65,PAYING
3727,18901.87,12.98,399.9,MO,2,28241,632,72,PAYING
3728,13877.26,10.96,286.6,MO,0,14072,560,72,PAYING
3729,14757.34,12.12,394.85,MO,0,14292,610,55,PAYING
3730,23290.22,11.52,479.76,MO,0,22470,586,72,PAYING
3731,44087.2,10.82,891.23,MO,0,41453,650,72,PAYING
3732,13394.95,9.56,268.22,MO,0,11811,683,72,PAYING
3733,13060.7,10.48,266.89,MO,0,11256,646,72,PAYING
3734,10816.07,9.85,255.7,MO,0,12005,680,60,PAYING
3735,14043.87,18.51,339.74,MO,0,11859,562,72,PAYING
3736,15645.99,12.7,340.3,MO,0,17879,544,72,PAYING
3737,25439.51,9.7,502.49,MO,0,20577,594,72,PAYING
3738,10216.93,21,330.74,MO,188,3300,455,48,BUY BACK HOLD
3739,13695.26,21,509.37,MO,50,2450,0,42,PAYING
3740,8494,21,287.27,MO,257,2375,557,42,BUY BACK HOLD
3741,8415.78,21,392.98,MO,4,1725,588,36,PAYING
3742,13328.91,21,451.35,MO,57,6725,458,48,PAYING
3743,10827.94,21,490.75,MO,0,3525,528,38,PAYING
3744,11677.89,21,549.3,MO,0,5300,559,36,PAYING
3745,6475.14,21,300.87,MO,0,1725,545,36,PAYING
3746,15819,21,535,MO,294,4950,433,42,BUY BACK HOLD
3747,13706.44,21,486.54,MO,100,3050,0,42,PAYING
3748,8236.75,21,394.87,MO,0,1050,0,36,PAYING
3749,10201.13,21,405.37,MO,0,1775,518,42,PAYING
3750,10036.23,21,349.32,MO,26,3950,486,48,PAYING
3751,9683.69,21,459.1,MO,0,2125,491,36,PAYING
3752,16047.89,21,619.96,MO,24,8200,548,42,PAYING
3753,10544.01,21,492.07,MO,0,2325,547,36,PAYING
3754,9363.54,21,470.37,MO,0,3175,0,36,PAYING
3755,9861.57,21,469.84,MO,0,2750,660,36,PAYING
3756,11218.16,21,395.77,MO,0,3750,515,48,PAYING
3757,7244.78,21,305.16,MO,0,0,589,40,PAYING
3758,6997.57,21,364.92,MO,95,775,487,36,INSURANCE PAYMENT
3759,12306.84,21,367.27,MO,0,4875,617,60,PAYING
3760,10431,21,392.98,MO,277,1150,489,36,REPO HOLD
3761,11433.48,21,405.02,MO,0,3175,556,48,PAYING
3762,8451.76,21,392.98,MO,5,4175,514,36,PAYING
3763,15640.53,11.02,327.12,MO,0,13645,619,72,PAYING
3764,13494.18,13.09,287.27,MO,0,10913,589,72,PAYING
3765,18148.21,12.89,386.53,MO,0,18136,500,72,PAYING
3766,12424.02,13.27,380.73,MO,0,12571,622,48,PAYING
3767,28169.28,11.62,582.79,MO,0,21961,523,72,PAYING
3768,12643.09,14.8,290.33,MO,0,11664,630,72,PAYING
3769,30310.8,12.72,643.12,MO,0,23885,631,72,PAYING
3770,20715.06,10.26,416.95,MO,0,18026,659,72,PAYING
3771,21857.32,11.53,458.47,MO,0,18172,608,72,PAYING
3772,25716.52,12.2,549.4,MO,0,21573,662,72,PAYING
3773,32454.1,9.66,671.67,MO,0,0,0,70,PAYING
3774,13972.35,15.26,501.38,MO,0,0,0,48,PAYING
3775,11610.61,14.24,270.1,MO,0,0,0,72,PAYING
3776,18263.97,14.1,398.79,MO,46,0,0,72,PAYING
3777,24788.29,15.02,560.71,MO,12,0,554,72,PAYING
3778,18655.32,17.1,442.19,MO,0,0,0,73,PAYING
3779,35454,10.8,684.88,MO,154,0,535,72,CH 13 BANKRUPTCY
3780,11991.62,15.07,306.72,MO,0,0,0,72,PAYING
3781,17863.82,10.47,358.1,MO,0,11575,679,72,PAYING
3782,24980.34,10.1,549.25,MO,0,16200,675,66,PAYING
3783,13686.82,9.5,249.29,MO,0,9400,626,72,PAYING
3784,31011.67,12.87,660.33,MO,0,26149,589,72,PAYING
3785,22918.71,11.57,586.68,MO,0,18323,690,56,PAYING
3786,19641.6,12.7,421.92,MO,0,15386,580,72,PAYING
3787,35941.24,14.95,820.36,MO,0,27508,640,72,PAYING
3788,16450.9,10.9,339.93,MO,0,14156,608,72,PAYING
3789,28720.43,11.5,596.57,MO,0,26596,657,72,PAYING
3790,17473.53,10.39,351.25,MO,0,17140,663,72,PAYING
3791,22283.93,11.2,458.05,MO,0,17440,611,72,PAYING
3792,17587.06,9.5,346.32,MO,1,15341,609,72,PAYING
3793,23728.58,10,472.81,MO,0,19314,558,72,PAYING
3794,9396.99,9.5,185.13,MO,6,6822,642,72,PAYING
3795,21125.97,9.5,422.09,MO,0,15123,599,72,PAYING
3796,19923.98,8.5,383.63,MO,0,13838,655,72,PAYING
3797,10566.2,16.62,246.57,MO,0,8738,610,72,PAYING
3798,17925.04,13.03,425.37,MO,0,14701,618,63,PAYING
3799,13327.75,11.09,272.27,MO,0,11324,624,72,PAYING
3800,16924.13,14.8,381.67,MO,0,15895,646,72,PAYING
3801,21751.81,14.97,477.85,MO,19,18956,565,72,PAYING
3802,30937.68,14.98,694.04,MO,0,22637,622,72,PAYING
3803,13461.39,11.08,274,MO,0,16582,589,72,PAYING
3804,12012.7,13.14,257.39,MO,0,12035,594,72,PAYING
3805,19029.7,9.26,371.53,MO,0,15895,631,72,PAYING
3806,16265.79,8.5,304.96,MO,11,11805,658,73,PAYING
3807,20898.87,15.06,469.17,MO,0,24913,623,72,PAYING
3808,39673.6,10.69,799.79,MO,0,29708,537,72,PAYING
3809,14380.17,9.85,285.1,MO,0,12582,682,72,PAYING
3810,18295.03,12.99,391.11,MO,0,18327,580,72,PAYING
3811,22299.56,10.7,461.03,MO,0,22783,659,72,PAYING
3812,16002.75,11.3,398.74,MO,0,15245,590,60,PAYING
3813,21716.41,11.5,451,MO,0,21646,743,72,PAYING
3814,16200.08,10.52,319.24,MO,18,14175,589,72,PAYING
3815,19096.31,10.28,382.13,MO,0,18507,635,72,PAYING
3816,19795.19,11.6,475.55,MO,0,21311,626,60,PAYING
3817,27224,11.49,562.96,MO,0,27519,600,72,PAYING
3818,11810.97,11.64,244.75,MO,0,10804,626,72,PAYING
3819,15204.53,11.43,313.17,MO,0,13409,637,72,PAYING
3820,23439.28,9.21,465.71,MO,0,20206,676,72,PAYING
3821,12321.55,12.43,259.47,MO,0,11022,601,72,PAYING
3822,19420.62,12.28,397.87,MO,19,19775,650,72,PAYING
3823,21805.63,12.24,456.98,MO,0,20472,626,72,PAYING
3824,19046.31,12.87,416.31,MO,0,0,0,72,PAYING
3825,12426.67,15.24,280.02,MO,0,10040,588,72,PAYING
3826,18504.89,15.1,413.52,MO,0,17453,640,72,PAYING
3827,10271.49,11.8,213.57,MO,0,10474,650,72,PAYING
3828,19493.5,10.86,396.68,MO,0,15454,641,72,PAYING
3829,15290.24,10.33,307.24,MO,0,12789,659,72,PAYING
3830,7803.28,10.6,445.14,MO,48,17669,569,72,INSURANCE PAYMENT
3831,16745.22,10,497.65,MO,0,18095,642,48,PAYING
3832,11541.75,11.75,239.41,MO,0,10517,607,72,PAYING
3833,22380.92,10,446.94,MO,0,18170,640,72,PAYING
3834,26560.35,9,516.17,MO,0,22752,673,72,PAYING
3835,10522.93,15.21,238.21,MO,0,9394,568,72,PAYING
3836,17038.56,12.8,365.55,MO,0,18195,686,72,PAYING
3837,16769.18,13.02,358.22,MO,0,13988,586,72,PAYING
3838,30057.88,12.89,727.94,MO,0,26608,623,63,PAYING
3839,17955.9,11.59,363.74,MO,18,16778,669,72,PAYING
3840,16268.09,11.62,338.02,MO,0,12859,645,72,PAYING
3841,10495.96,13.8,230.65,MO,0,11158,584,72,PAYING
3842,22371.02,14.24,495.82,MO,0,20333,590,72,PAYING
3843,13998.09,10.36,281.18,MO,0,12890,692,72,PAYING
3844,14630.04,8.5,281.25,MO,0,11699,694,72,PAYING
3845,3372.8,21,358.61,MO,13,5200,505,48,PAYING
3846,12331.97,21,386.48,MO,140,5725,564,48,REPO HOLD
3847,9711.49,21,475.87,MO,0,1500,515,36,PAYING
3848,16525.86,21,548.95,MO,0,9200,517,48,PAYING
3849,13819.31,21,501.59,MO,62,5700,439,42,PAYING
3850,5031.7,21,246.67,MO,0,2500,519,36,PAYING
3851,7452.3,21,482.3,MO,81,0,597,24,PAYING
3852,9261,21,329.63,MO,232,1350,460,39,BUY BACK HOLD
3853,12257.84,21,450.86,MO,40,4900,0,42,PAYING
3854,9783.67,21,434.57,MO,0,0,0,37,PAYING
3855,10223.31,21,398.26,MO,210,1575,586,36,REPO HOLD
3856,8628.34,21,336.04,MO,0,1150,514,42,PAYING
3857,9694.43,21,343.09,MO,0,2625,0,48,PAYING
3858,9914.23,21,404.96,MO,0,3875,481,42,PAYING
3859,15396.11,21,488.51,MO,204,8100,523,48,REPO HOLD
3860,10843.47,21,449.68,MO,105,0,566,36,REPO ASSIGN
3861,5845.28,21,279,MO,24,2750,583,33,PAYING
3862,6469.79,21,515.05,MO,0,4250,457,36,PAYING
3863,6586,21,338.42,MO,245,0,505,24,REPO HOLD
3864,15990.18,21,528.92,MO,125,8325,464,48,REPO HOLD
3865,11699.56,15.27,264.02,MO,0,15479,618,72,PAYING
3866,20844.84,12.95,447.1,MO,0,19060,607,72,PAYING
3867,11655.69,9.5,229.55,MO,0,12714,554,72,PAYING
3868,16672.63,12,399.56,MO,18,13682,449,60,PAYING
3869,27880.93,12.19,587.6,MO,0,23923,662,72,PAYING
3870,19931.26,9.5,399.42,MO,0,15207,626,72,PAYING
3871,17613.69,12.75,365.92,MO,6,17802,589,72,PAYING
3872,26831.5,12.9,571.24,MO,0,24539,561,72,PAYING
3873,30711.77,12.6,657.9,MO,0,27637,685,72,PAYING
3874,15309.77,12.34,322.67,MO,0,15981,624,72,PAYING
3875,14776.92,10.44,297.32,MO,0,13482,680,72,PAYING
3876,28295.19,11.49,576.93,MO,15,24519,518,72,PAYING
3877,17706.26,12.29,373.07,MO,0,14820,585,72,PAYING
3878,21434.89,10.3,565.85,MO,0,20846,611,53,PAYING
3879,39822.35,15.14,896.45,MO,0,41430,530,72,PAYING
3880,11895.62,15.44,278.96,MO,0,9927,524,72,PAYING
3881,27433.41,10,550.63,MO,0,22532,654,72,PAYING
3882,41951.68,14,920.89,MO,0,34500,597,72,PAYING
3883,35480.35,11.6,704.21,MO,42,26082,620,72,PAYING
3884,21925.19,11.46,444.47,MO,14,20701,540,72,PAYING
3885,14786.33,11.55,305.67,MO,0,12107,549,72,PAYING
3886,21135.65,11.95,440.65,MO,0,16799,687,72,PAYING
3887,21751.47,15.17,485.39,MO,15,19241,474,72,PAYING
3888,4455.75,10.19,529.47,MO,14,22944,606,72,INSURANCE PAYMENT
3889,15375.18,15,347.48,MO,0,12358,627,72,PAYING
3890,19502.38,14,429.74,MO,0,23000,597,72,PAYING
3891,23837.08,12.22,502.08,MO,0,19957,598,72,PAYING
3892,15138.69,13.36,320.59,MO,14,13362,576,72,PAYING
3893,23196.4,9.5,458.09,MO,0,16341,592,72,PAYING
3894,28775.28,9.5,567.53,MO,0,24695,563,72,PAYING
3895,12469.16,9.5,293.55,MO,0,10332,555,60,PAYING
3896,15705.57,9.5,310.46,MO,0,16119,588,72,PAYING
3897,16276.78,10.31,332.57,MO,0,16172,596,72,PAYING
3898,24651.26,10.84,501.07,MO,0,19401,673,72,PAYING
3899,16134.56,12.32,339.91,MO,0,16153,623,72,PAYING
3900,31556.34,10.16,630.78,MO,0,48165,522,72,PAYING
3901,29794.19,12,626.64,MO,0,29177,608,72,PAYING
3902,27726.89,13.19,596.3,MO,0,25525,591,72,PAYING
3903,21318.13,12.25,440.16,MO,18,19359,646,72,PAYING
3904,28564.51,12.18,596.95,MO,0,23046,490,72,PAYING
3905,21863.24,12.24,457.48,MO,0,20431,612,72,PAYING
3906,34802.5,9.5,685.22,MO,0,32425,620,72,PAYING
3907,13858.78,9.5,274.49,MO,0,11336,622,72,PAYING
3908,13830.1,11.8,253.42,MO,0,12875,628,72,PAYING
3909,14328.79,10.56,295.88,MO,0,7575,681,72,PAYING
3910,12936.38,11.82,259.61,MO,0,7950,612,72,PAYING
3911,15614.55,10,315.4,MO,0,9950,713,72,PAYING
3912,17035.36,10.49,340.78,MO,0,10100,704,72,PAYING
3913,15704.34,12.93,349.92,MO,0,11050,642,69,PAYING
3914,23389.72,10.89,480.08,MO,0,11800,655,72,PAYING
3915,13635.15,14.31,305,MO,0,9975,753,72,PAYING
3916,12644.34,12.7,271.55,MO,0,8075,697,72,PAYING
3917,16267.53,19.91,467.53,MO,0,12050,735,72,PAYING
3918,18116.25,12.7,402.21,MO,87,11400,623,66,REPO HOLD
3919,26227.4,10.35,507.17,MO,0,18550,651,72,PAYING
3920,19072.78,13.09,463.83,MO,0,11800,683,64,PAYING
3921,20505.76,11.02,429.44,MO,0,14200,694,72,PAYING
3922,10864.24,10.71,222.22,MO,0,9000,695,72,PAYING
3923,17116.55,13.09,384.47,MO,0,10900,634,72,PAYING
3924,2571.82,10.62,259.06,MO,0,7200,704,72,INSURANCE PAYMENT
3925,10092.93,10.76,206.14,MO,0,4900,0,72,PAYING
3926,31457.97,12.7,657.62,MO,0,19375,607,73,PAYING
3927,25011.76,10.37,499.07,MO,0,19950,622,72,PAYING
3928,12951.31,10.55,329,MO,0,8700,651,72,PAYING
3929,15541.82,11.79,335.68,MO,0,7900,658,72,PAYING
3930,16184.11,11.72,339.36,MO,0,8950,639,72,PAYING
3931,10824.94,10.76,253.07,MO,0,5100,696,63,PAYING
3932,14979.07,12.84,322.74,MO,0,10375,704,72,PAYING
3933,16225.08,11.93,297.24,MO,0,8650,656,72,PAYING
3934,15061.56,10.1,297.58,MO,2,11000,650,73,PAYING
3935,23103.96,11.3,486.88,MO,0,14875,668,72,PAYING
