LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
199,2448.72,19,351.63,MO,0,10950,0,66,PAYING
200,2190.08,16,371.05,MO,0,9650,0,67,PAYING
201,1177.76,19,280.67,MO,0,7675,0,66,PAYING
202,5318.66,16.99,315.88,MO,0,8050,0,73,PAYING
203,2367.66,16.99,384.22,MO,0,8675,0,67,PAYING
204,3991.33,15.99,386.18,MO,0,11825,0,72,PAYING
205,2318.91,17.5,379.74,MO,35,11625,0,60,PAYING
206,10053.98,22.5,274.15,MO,1820,6200,0,66,REPO HOLD
207,4526.41,16.99,353.58,MO,31,9100,0,68,PAYING
208,3621.89,16.99,383.48,MO,27,10900,0,69,PAYING
209,1556.23,16.5,323.08,MO,0,9150,0,66,PAYING
210,1882,16,326.67,MO,0,12025,0,66,PAYING
211,3367.85,16.99,444.91,MO,60,14800,0,68,PAYING
212,5129.6,16.99,435.49,MO,23,14025,0,69,PAYING
213,3802.23,16,258.63,MO,43,6900,0,68,PAYING
214,7655.17,16.99,448.69,MO,656,14050,0,66,CH 13 BANKRUPTCY
215,1659.15,16.99,405.48,MO,0,10625,0,66,PAYING
216,2617.56,15.99,300.74,MO,32,7875,0,66,PAYING
217,7268.56,16.99,374.81,MO,0,9400,0,75,PAYING
218,2204.22,18,298.71,MO,0,7775,0,66,PAYING
219,3573.09,19,364.12,MO,19,6475,0,60,PAYING
220,7392.15,20.99,504.08,MO,1177,9050,0,54,CH 13 BANKRUPTCY
221,6482.38,18.25,390.87,MO,61,9775,0,69,PAYING
222,2836.49,16.99,272.06,MO,179,8775,0,66,REPO HOLD
223,5728.24,17.5,361.86,MO,26,8750,0,69,PAYING
224,3762.47,17.25,350.59,MO,0,8875,0,68,PAYING
225,5648.57,16,320.64,MO,0,9675,0,70,PAYING
226,1573.43,16.99,386.53,MO,114,11900,0,62,REPO ASSIGN
227,2744.11,16.5,324.65,MO,0,9825,0,66,PAYING
228,4186.63,15.99,504.82,MO,29,16275,0,70,PAYING
229,1958.25,16.99,356.25,MO,27,11050,0,66,PAYING
230,3076.69,16,290.9,MO,0,10025,0,67,PAYING
231,1824.13,16.99,361.2,MO,0,10350,0,66,PAYING
232,1942.5,16.99,282.7,MO,6,8125,0,68,PAYING
233,5275.83,25,367.87,MO,0,8475,0,71,PAYING
234,6339.17,18,287.81,MO,18,7450,0,75,PAYING
235,5747.77,17.25,321.55,MO,10,9175,0,71,PAYING
236,5629.71,16,394.76,MO,0,11800,0,72,PAYING
237,3513.1,16.5,408.59,MO,14,12925,0,67,INSURANCE HOLD
238,3381.45,17.99,422.56,MO,57,13075,0,71,PAYING
239,5990.68,19.5,455.44,MO,0,11750,0,71,PAYING
240,5195.63,18.5,278.9,MO,522,7300,0,58,REPO HOLD
241,1164.69,19.5,370.69,MO,0,10075,0,66,PAYING
242,3952.52,16.5,395.98,MO,0,9400,0,68,PAYING
243,3491.26,16.99,343.51,MO,0,10275,0,69,PAYING
244,2684.52,16.99,277.94,MO,873,4800,0,48,CH 13 BANKRUPTCY
245,2060.73,15.99,485.17,MO,40,16800,0,66,PAYING
246,4344.66,21,365.66,MO,0,11875,0,68,PAYING
247,3622.47,17.1,374.21,MO,6,9475,0,66,PAYING
248,5076.67,17,333.9,MO,45,9100,0,71,PAYING
249,3781.11,17.99,466.53,MO,144,13750,0,70,REPO ASSIGN
250,1531.45,16.99,357.87,MO,7,10025,0,66,PAYING
251,4150.93,19.5,405.22,MO,1,10250,0,64,PAYING
252,8325.63,22.48,457.55,MO,0,12050,0,70,PAYING
253,4784.53,17,448.12,MO,63,13300,0,62,PAYING
254,3442.3,16.99,332.77,MO,0,8925,0,66,PAYING
255,1784.55,16.99,366.83,MO,28,8750,0,66,PAYING
256,4306,16,310.64,MO,538,8900,0,54,REPO HOLD
257,3148.64,16,384.28,MO,0,13175,0,66,PAYING
258,3550.14,16.99,323.92,MO,34,8000,0,70,PAYING
259,1087.91,15.99,258.02,MO,0,9025,0,66,PAYING
260,1000.71,19.5,276.96,MO,0,6600,0,66,PAYING
261,1738.11,16.99,362.94,MO,0,9325,0,67,PAYING
262,1790.42,16.99,389.43,MO,128,10325,0,66,PAYING
263,1238.8,16.99,412.84,MO,0,9525,0,68,PAYING
264,4740.27,16,356.75,MO,32,10750,0,68,PAYING
265,7940.78,17.99,397.33,MO,752,8700,0,68,CH 13 BANKRUPTCY
266,5914.86,17.5,360.07,MO,49,9825,0,68,PAYING
267,11222.68,16.99,349.28,MO,1717,5300,0,54,CH 13 BANKRUPTCY
268,2664.3,16,333.22,MO,0,9925,0,66,PAYING
269,1316.59,19.5,407.14,MO,0,10350,0,66,PAYING
270,2578.87,17.11,424.11,MO,51,11400,0,66,PAYING
271,1550.45,16.99,434.73,MO,23,7800,0,68,PAYING
272,2190.08,16.99,330.8,MO,2,9850,0,68,PAYING
273,3643.1,17.5,311.14,MO,13,8875,0,68,PAYING
274,3721.86,16.99,283.51,MO,123,9275,0,69,REPO ASSIGN
275,1594.17,16.99,337.65,MO,34,8300,0,72,PAYING
276,1134.9,17.5,440.74,MO,122,10225,0,57,PAYING
277,2248.99,16.99,427.74,MO,10,14075,0,67,PAYING
278,3887.93,19,310.2,MO,0,9500,0,69,PAYING
279,2506.09,19,358.16,MO,0,7950,0,66,PAYING
280,12430.18,16,436.86,MO,18,12200,0,71,PAYING
281,2397.89,25,339.58,MO,2,9225,0,66,PAYING
282,6254.54,16.99,374.99,MO,129,9950,0,73,REPO HOLD
283,3331.68,16.5,397.4,MO,67,10050,0,66,PAYING
284,4273.02,16.99,360.78,MO,1,7675,0,70,PAYING
285,2638.21,17.25,259.87,MO,0,6325,0,67,PAYING
286,5095.46,19.5,327.82,MO,4,7050,0,69,PAYING
287,2394.35,19.5,324.25,MO,0,8100,0,66,PAYING
288,2529.97,19,351.19,MO,0,12000,0,66,PAYING
289,9374.78,20.99,354.98,MO,1576,6625,0,54,CH 13 BANKRUPTCY
290,4603.98,16.99,355.7,MO,33,8925,0,68,PAYING
291,5837.38,18,344.01,MO,0,9525,0,73,PAYING
292,1113.19,16.99,297.16,MO,0,8900,0,66,PAYING
293,1744.04,15.99,379.41,MO,125,10575,0,69,PAYING
294,2458.72,16.99,363.29,MO,827,7100,0,48,CH 13 BANKRUPTCY
295,2287.47,15.99,378.39,MO,21,10200,0,68,PAYING
296,1493.04,15.99,426.46,MO,0,13950,0,67,PAYING
297,5011.75,16.99,359.63,MO,24,8750,0,69,PAYING
298,3176.95,16.99,390.07,MO,0,10700,0,69,PAYING
299,5265.08,16.99,285.39,MO,586,6950,0,63,CH 13 BANKRUPTCY
300,1746.26,15.99,268.73,MO,41,9075,0,71,PAYING
301,1402.33,16,379.15,MO,4,8400,0,59,PAYING
302,1788.84,19.5,362.15,MO,8,7687.5,0,70,PAYING
303,2210.8,16,260.74,MO,17,11050,0,66,PAYING
304,1869.14,16,381.32,MO,0,10475,0,66,PAYING
305,4288.87,20.75,301.96,MO,57,7725,0,67,PAYING
306,1693.37,16.99,450.88,MO,3,13750,0,66,PAYING
307,4525.29,18,386.33,MO,8,10400,0,69,PAYING
308,5167.9,18.5,350.4,MO,545,9350,0,66,CH 13 BANKRUPTCY
309,1107.05,16,381.84,MO,271,12275,0,66,CH 13 BANKRUPTCY
310,5805.43,20.75,384.13,MO,45,9825,0,66,PAYING
311,4443.51,18,328.78,MO,145,7975,0,66,REPO HOLD
312,5016.68,16.99,414.37,MO,0,11175,0,72,PAYING
313,3742.56,19.5,431.07,MO,0,12750,0,73,PAYING
314,4965.3,17.5,348.23,MO,30,9925,0,66,PAYING
315,2500.46,16.99,355.06,MO,123,10375,0,68,REPO ASSIGN
316,4604.68,20.99,420,MO,642,7025,609,69,CH 13 BANKRUPTCY
317,4256.94,16.99,358.76,MO,0,11500,0,73,PAYING
318,1258.84,19.5,456.21,MO,106,11975,0,60,PAYING
319,14715.09,17.5,372.43,MO,1737,10500,0,60,REPO HOLD
320,4311.89,16.99,373.19,MO,0,10675,0,68,PAYING
321,6283.98,16.99,339.97,MO,528,9175,0,68,CH 13 BANKRUPTCY
322,6709.68,21.25,364.85,MO,0,9525,0,73,PAYING
323,3615.99,16.99,401.9,MO,0,10125,0,69,PAYING
324,11531.44,17.75,462.42,MO,73,15025,0,73,PAYING
325,2216.08,17.01,417.61,MO,32,15500,0,66,PAYING
326,2789.84,15.99,323.95,MO,1,8675,0,70,PAYING
327,3145.86,16.5,392.07,MO,0,11900,0,66,PAYING
328,4169.71,16.99,272.72,MO,476,6625,0,60,REPO HOLD
329,1628.92,16.99,410.03,MO,30,13175,0,66,PAYING
330,1378.56,16.99,489.59,MO,50,13750,0,68,PAYING
331,2219.11,16,383.09,MO,0,10900,0,66,PAYING
332,3055.55,16.99,455.52,MO,21,12750,0,69,PAYING
333,2639.17,16.99,526.04,MO,49,13675,0,64,PAYING
334,5774.95,18,336.3,MO,18,9700,0,66,PAYING
335,6277.3,17.5,298.11,MO,65,8100,0,66,PAYING
336,5698.78,17.5,368.72,MO,2,10600,0,66,PAYING
337,3338.56,22.99,469,MO,1066,9275,0,54,CH 13 BANKRUPTCY
338,2937.82,16.5,419.17,MO,54,11650,0,62,PAYING
339,4044.62,17.01,333.26,MO,31,8850,0,74,PAYING
340,4354.39,17.5,360.24,MO,493,9825,0,56,CH 13 BANKRUPTCY
341,1743.32,16.99,397.84,MO,0,10975,0,66,PAYING
342,1260,16.99,405.26,MO,13,9675,0,67,PAYING
343,2692.82,15.99,326.4,MO,0,8825,0,66,PAYING
344,7212.8,16,401.1,MO,98,11075,0,70,PAYING
345,2358.7,26.25,295.5,MO,0,6750,0,66,PAYING
346,5105.68,17.5,397.08,MO,180,12750,0,66,REPO ASSIGN
347,12902.21,19.5,373.98,MO,1778,10600,0,54,REPO HOLD
348,3133.75,17.75,287.27,MO,0,7200,0,64,PAYING
349,2321.34,16.5,270.38,MO,116,7025,0,56,REPO HOLD
350,1599.62,17.5,261.87,MO,0,7175,0,66,PAYING
351,9869.92,20.99,375,MO,1339,6825,0,66,CH 13 BANKRUPTCY
352,3685.84,19,275.82,MO,458,7950,0,55,CH 13 BANKRUPTCY
353,4141.53,18,425.23,MO,57,12050,0,70,PAYING
354,1025.59,16.99,274.93,MO,0,8300,0,66,PAYING
355,9148.1,16.5,317.26,MO,865,9550,0,66,CH 13 BANKRUPTCY
356,3897.52,16,332.62,MO,47,9825,0,69,PAYING
357,4500.3,17.5,304.36,MO,3,8675,0,71,PAYING
358,10875.31,19.5,429.97,MO,41,15225,0,77,PAYING
359,5308.33,17.1,355.33,MO,3,9900,0,68,PAYING
360,3994.59,19.5,301,MO,97,8225,0,69,PAYING
361,1661.33,15.99,324.95,MO,31,11850,0,68,PAYING
362,3999.51,16.99,303.6,MO,0,8900,0,71,PAYING
363,4879.35,17.01,348.59,MO,3,8600,0,72,PAYING
364,1745.82,16.99,341.25,MO,25,10775,0,67,PAYING
365,3317.16,16.99,368.94,MO,54,10600,0,70,PAYING
366,2088.19,16.5,357.11,MO,0,9025,0,66,PAYING
367,1102.68,16.99,399.3,MO,0,11500,0,66,PAYING
368,1891.37,19.5,414.11,MO,0,10275,0,68,PAYING
369,1855.76,16.99,327.27,MO,65,10275,0,66,PAYING
370,4551.61,16.99,478,MO,9,17325,0,68,PAYING
371,2272.89,16,295.92,MO,0,6375,0,66,PAYING
372,4543.96,18.5,350.31,MO,0,9950,0,68,PAYING
373,7909.78,16.5,277.5,MO,937,10950,0,60,REPO HOLD
374,1994.55,16.99,342.97,MO,7,7925,0,63,PAYING
375,1358.66,16.99,313.05,MO,2,8050,0,63,PAYING
376,2109.83,16.99,332.36,MO,42,6325,0,66,PAYING
377,11109.36,16,342.07,MO,1717,9350,0,48,REPO HOLD
378,2357.32,19.5,354.08,MO,24,8375,0,64,PAYING
379,1799.55,17.5,279.75,MO,14,7875,0,66,PAYING
380,2541.92,16.99,374.97,MO,0,9150,0,72,PAYING
381,5981.48,17.11,285.73,MO,21,8725,0,72,PAYING
382,3038.6,18,300.03,MO,64,6925,0,66,PAYING
383,1103.25,15.99,335.97,MO,0,8600,0,66,PAYING
